step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,optimization_status,sensitivity_cache_hit,overv_sourcebus,overv_650,overv_rg60,overv_633,overv_634,overv_671,overv_645,overv_646,overv_692,overv_675,overv_611,overv_652,overv_670,overv_632,overv_680,overv_684
22,110,1.8333333333333333,0.47333333333333333,0.0,0.0,1.000054766882857,1.0354318257039834,1.0179306133594026,650,rg60,0,0,0,22.213858074635365,optimization,0,0,0,no action needed,False,1.0000634718672552,1.000054766882857,1.0354318257039834,1.0240115452994758,1.0144795724286624,1.0212637942548548,1.0238346603356758,1.0229354259372454,1.0212637915089429,1.0211064029624133,1.0124678545553196,1.0081548838332939,1.0235987577627033,1.025186365830615,1.021263808295286,1.0117728862918587
23,115,1.9166666666666667,0.4716666666666666,0.0,0.0,1.0000551182172126,1.035432397674045,1.0180296142831367,650,rg60,0,0,0,22.052236217364232,optimization,0,0,0,no action needed,False,1.0000637449380283,1.0000551182172126,1.035432397674045,1.0240898207057538,1.0145925215411238,1.0213876652635365,1.0239135320026906,1.0230173961456925,1.0213876625276639,1.0212361293309473,1.0126883716148105,1.0083151166638047,1.023690489095851,1.0252603697023763,1.021387679305574,1.011955813801074
24,120,2.0,0.47,0.0,0.0,1.0000552692019073,1.0333493582295183,1.0158804454888846,650,rg60,0,0,0,21.975523332449217,optimization,0,0,0,no action needed,False,1.0000638694798807,1.0000552692019073,1.0333493582295183,1.0220219681616534,1.0125406300100626,1.019314798003906,1.020757868758734,1.0198672705978415,1.0193147952721853,1.0191620814244624,1.0061581487599642,1.008550730410805,1.02161953152717,1.0231903511006053,1.0193148120152697,1.0088056448681875
25,125,2.0833333333333335,0.4683333333333333,0.0,0.0,1.0000556201341473,1.033349928300389,1.0159795888773258,650,rg60,0,0,0,21.814604932044382,optimization,0,0,0,no action needed,False,1.0000641422403365,1.0000556201341473,1.033349928300389,1.022100341912959,1.0126537337117885,1.0194388383907118,1.0208369616634907,1.0199494546180685,1.019438835669048,1.0192919900978084,1.006379419892491,1.0087106723599717,1.021711383627664,1.0232644470783236,1.0194388524036835,1.0089887999363296
26,130,2.1666666666666665,0.4666666666666667,0.0,0.0,1.0000559709428114,1.0333504982008916,1.0160787081853866,650,rg60,0,0,0,21.654479873573084,optimization,0,0,0,no action needed,False,1.0000644149075641,1.0000559709428114,1.0333504982008916,1.02217869432278,1.012766808385795,1.019562847723763,1.020916043732735,1.0200316282955666,1.0195628450121532,1.0194218657914682,1.0066006496204443,1.0088705622211906,1.0218032109381825,1.0233385226614482,1.0195628617383419,1.0091719064710527
27,135,2.25,0.46499999999999997,0.0,0.0,1.0000563216182083,1.0333510679175866,1.0161778005932613,650,rg60,0,0,0,21.495143059306272,optimization,0,0,0,no action needed,False,1.0000646874742425,1.0000563216182083,1.0333510679175866,1.0222570231186598,1.0128798509567396,1.019686822153765,1.020995107578912,1.020113784242226,1.0196868194522064,1.0195517044626818,1.0068218214549869,1.0090304133865813,1.0218950106561653,1.0234125756597503,1.019686836169951,1.0093549631895167
28,140,2.3333333333333335,0.4633333333333333,0.0,0.0,1.000056672158739,1.0333516374468925,1.0162768655901298,650,rg60,0,0,0,21.336595879960154,optimization,0,0,0,no action needed,False,1.0000649599390359,1.000056672158739,1.0333516374468925,1.0223353278846912,1.0129928610115193,1.0198107608813596,1.0210741529249885,1.0201959221813723,1.019810758189849,1.0196815053118298,1.0070429350092145,1.009190224494834,1.021986782234952,1.0234866056570189,1.0198107748991523,1.0095379692166275
29,145,2.4166666666666665,0.46166666666666667,0.0,0.0,1.0000570225639416,1.0333522067877565,1.0163759029998478,650,rg60,0,0,0,21.178838575719173,optimization,0,0,0,no action needed,False,1.0000652323015582,1.0000570225639416,1.0333522067877565,1.022413608534475,1.0131058384699514,1.0199346637452902,1.0211531796092883,1.020278041950812,1.0199346610638242,1.0198112681785712,1.0072639891428878,1.00934999569738,1.022078525561525,1.0235606125661085,1.019934677764689,1.0097209240595055
30,150,2.5,0.46,0.0,0.0,1.0000573728350461,1.0333527759428396,1.0164749132116895,650,rg60,0,0,0,21.02186952183985,optimization,0,0,0,no action needed,False,1.0000655045628273,1.0000573728350461,1.0333527759428396,1.0224918654107735,1.0132187836855466,1.0200585314027635,1.021232187555404,1.0203601434729213,1.0200585287313395,1.0199409937233472,1.0074849830459836,1.0095097293071178,1.0221702410850793,1.0236345967285614,1.0200585454237674,1.009903828473714
31,155,2.5833333333333335,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.0164749148736258,650,rg60,0,0,0,21.02186950614063,optimization,0,0,0,no action needed,False,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.0224918665084608,1.0132187851839654,1.02005853332862,1.0212321895298544,1.0203601454482545,1.0200585306571963,1.0199409957807424,1.007484991029792,1.009509727894392,1.0221702424502652,1.0236345977815855,1.0200585473496242,1.0099038316769349
