step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,overv_sourcebus,overv_650,overv_rg60,overv_633,overv_634,overv_671,overv_645,overv_646,overv_692,overv_675,overv_611,overv_652,overv_670,overv_632,overv_680,overv_684
22,110,1.8333333333333333,0.47333333333333333,0.0,0.0,1.000054765578647,1.0354318235728306,1.0179302112917918,650,rg60,0,0,0,22.213860938398007,baseline,0,0,0,1.0000634708530352,1.000054765578647,1.0354318235728306,1.0240112697972394,1.0144791743055945,1.0212633230891919,1.0238343585625542,1.022935124094185,1.021263320343225,1.0211058965281403,1.012466395133107,1.0081545772949385,1.0235984226168426,1.0251861049506392,1.0212633371296176,1.0117720168188837
23,115,1.9166666666666667,0.4716666666666666,0.0,0.0,1.0000551169232021,1.0354323955593483,1.0180292152922483,650,rg60,0,0,0,22.052239025441324,baseline,0,0,0,1.0000637439317206,1.0000551169232021,1.0354323955593483,1.0240895473351543,1.0145921264784024,1.0213871977208135,1.0239132324235847,1.0230170964971923,1.0213871949848867,1.0212356267880132,1.0126869229209836,1.0083148129533481,1.0236901565393446,1.025260110843421,1.021387211762846,1.0119549510137125
24,120,2.0,0.47,0.0,0.0,1.000055270935105,1.0333493609816278,1.0158809857598308,650,rg60,0,0,0,21.975521205512162,baseline,0,0,0,1.0000638708213976,1.000055270935105,1.0333493609816278,1.0220223519243001,1.0125411254878987,1.0193154624326435,1.0207588985570137,1.0198683007090246,1.01931545970096,1.0191627759714896,1.0061611908541677,1.0085491517426775,1.0216200101442294,1.0231907232850441,1.0193154764440153,1.0088063421656979
25,125,2.0833333333333335,0.4683333333333333,0.0,0.0,1.000055618849655,1.0333499262083012,1.0159791913492953,650,rg60,0,0,0,21.8146077090156,baseline,0,0,0,1.0000641412415454,1.000055618849655,1.0333499262083012,1.022100069588183,1.012653340418464,1.0194383725910188,1.0208366600404442,1.0199491529261786,1.0194383698693013,1.0192914895110359,1.0063779697030362,1.0087103803632795,1.021711052275874,1.0232641891665677,1.0194383866039853,1.0089879422318533
26,130,2.1666666666666665,0.4666666666666667,0.0,0.0,1.0000559696684215,1.0333504961250561,1.01607831371844,650,rg60,0,0,0,21.65448259353699,baseline,0,0,0,1.0000644139166095,1.0000559696684215,1.0333504961250561,1.0221784241152554,1.0127664181330787,1.0195623855239433,1.020915744286,1.020031328780532,1.0195623828122802,1.0194213690721299,1.006599210134338,1.0088702730393453,1.0218028821586993,1.0233382667570012,1.0195623995385172,1.009171055433833
27,135,2.25,0.46499999999999997,0.0,0.0,1.0000563203539121,1.033351065857989,1.0161774091846423,650,rg60,0,0,0,21.495145720082302,baseline,0,0,0,1.0000646864911176,1.0000563203539121,1.033351065857989,1.0222567550283685,1.0128794637423544,1.0196863635535411,1.0209948103393915,1.020113486934952,1.0196863608519295,1.019551211609251,1.006820392704081,1.009030126920364,1.0218946844492043,1.0234123217629179,1.0196863775697225,1.00935411878518
28,140,2.3333333333333335,0.4633333333333333,0.0,0.0,1.0000566709044953,1.0333516354034697,1.0162764772281747,650,rg60,0,0,0,21.336598483710635,baseline,0,0,0,1.0000649589637096,1.0000566709044953,1.0333516354034697,1.022335061903267,1.0129924768236906,1.0198103058667731,1.0210738578842746,1.0201956270734494,1.0198103031752097,1.0196810163093761,1.007041516955,1.0091899407328266,1.0219864585903844,1.0234863537598358,1.0198103198845607,1.0095371314204749
29,145,2.4166666666666665,0.46166666666666667,0.0,0.0,1.0000570213197064,1.0333522047604387,1.016375517671698,650,rg60,0,0,0,21.17884112940372,baseline,0,0,0,1.000065231333996,1.0000570213197064,1.0333522047604387,1.0224133446527441,1.0131054572956015,1.0199342123010302,1.0211528867602797,1.020277749035138,1.019934209619512,1.0198107830106522,1.0072625817470693,1.0093497146197306,1.0220782044682775,1.023560362659868,1.0199342263204239,1.0097200928427006
30,150,2.5,0.46,0.0,0.0,1.000057371600767,1.0333527739315442,1.0164745309022534,650,rg60,0,0,0,21.02187202038217,baseline,0,0,0,1.0000655036029882,1.000057371600767,1.0333527739315442,1.0224916036181881,1.0132184055095583,1.0200580835110873,1.021231896891255,1.0203598527426503,1.0200580808396118,1.0199405123708294,1.0074835862644356,1.0095094508865592,1.0221699225303937,1.0236343488032642,1.0200580975320868,1.009903003800833
31,155,2.5833333333333335,0.46,0.0,0.0,1.00005737284022,1.033352775951187,1.0164749148664827,650,rg60,0,0,0,21.02186950754777,baseline,0,0,0,1.000065504566843,1.00005737284022,1.033352775951187,1.0224918665034934,1.013218785177583,1.0200585333199415,1.0212321895166077,1.0203601454350033,1.0200585306485177,1.0199409957716439,1.0074849909889987,1.009509727914754,1.02217024244404,1.0236345977767631,1.0200585473409456,1.0099038316671791
32,160,2.6666666666666665,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.0164749148736258,650,rg60,0,0,0,21.02186950614063,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.0224918665084608,1.0132187851839654,1.02005853332862,1.0212321895298544,1.0203601454482545,1.0200585306571963,1.0199409957807424,1.007484991029792,1.009509727894392,1.0221702424502652,1.0236345977815855,1.0200585473496242,1.0099038316769349
33,165,2.75,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
34,170,2.8333333333333335,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
35,175,2.9166666666666665,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
36,180,3.0,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
37,185,3.0833333333333335,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
38,190,3.1666666666666665,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
39,195,3.25,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
40,200,3.3333333333333335,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
41,205,3.4166666666666665,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
42,210,3.5,0.46,0.0,0.0,1.0000573728402429,1.0333527759512229,1.016474914873626,650,rg60,0,0,0,21.021869506140636,baseline,0,0,0,1.0000655045668607,1.0000573728402429,1.0333527759512229,1.022491866508461,1.0132187851839658,1.0200585333286203,1.021232189529855,1.0203601454482552,1.0200585306571968,1.019940995780743,1.0074849910297927,1.0095097278943903,1.0221702424502654,1.0236345977815857,1.0200585473496246,1.0099038316769342
43,215,3.5833333333333335,0.46166666666666667,0.0,0.0,1.0000570238179127,1.0333522088307745,1.0163762914493597,650,rg60,0,0,0,21.17883601517403,baseline,0,0,0,1.0000652332766773,1.0000570238179127,1.0333522088307745,1.022413874473518,1.0131062224437486,1.0199351188027117,1.021153476312801,1.0202783387227692,1.0199351161212984,1.0198117572042646,1.0072654119019238,1.0093502735899595,1.0220788492165982,1.0235608644474816,1.0199351328221151,1.0097217612052005
